	ss	m1	m2	m3	d1	d2	d3	v1	v2	v3	v4	b1	b2	b3	b4	t1	t2	t3	t4	t5	t6	t7	t8	t9	f1	f2	f3	f4
ss	0	7	9	11	13	15	17	6	10	5	7	3	7	2	4	10	8	6	12	10	8	14	12	10	17	15	13	11
m1	7	0	1	3	5	7	9	0	1	1	6	4	6	5	9	5	7	9	7	9	11	9	11	13	10	12	14	16
m2	9	1	0	1	3	5	7	0	0	4	4	6	6	7	7	3	5	7	5	7	9	7	9	11	8	10	12	14
m3	11	3	1	0	1	3	5	2	0	6	2	6	4	9	5	1	3	5	3	5	7	5	7	9	6	8	10	12
d1	13	5	3	1	0	1	3	4	2	7	3	7	5	10	6	2	4	6	2	3	5	3	5	7	4	6	8	10
d2	15	7	5	3	1	0	2	6	4	9	5	9	7	12	8	2	4	6	1	4	6	2	3	5	2	4	6	8
d3	17	9	7	5	3	2	0	8	6	11	7	11	9	14	10	3	6	8	2	9	6	2	4	6	0	2	4	6
v1	6	0	0	2	4	6	8	0	1	2	5	3	5	4	8	4	6	8	6	8	10	8	10	12	9	11	13	15
v2	10	1	0	0	2	4	6	1	0	5	2	5	3	8	4	1	2	4	4	6	8	6	8	10	7	9	11	12
v3	5	1	4	6	7	9	11	2	5	0	1	0	1	3	5	4	3	5	9	11	10	11	13	12	12	14	15	13
v4	7	6	4	2	3	5	7	5	2	1	0	1	0	5	3	2	2	3	5	7	8	7	9	10	8	10	12	11
b1	3	4	6	6	7	9	11	3	5	0	1	0	1	1	5	4	3	5	9	11	10	11	13	12	12	14	15	13
b2	7	6	6	4	5	7	9	5	3	1	0	1	0	5	1	2	0	1	7	8	6	9	10	8	10	12	11	9
b3	2	5	7	9	10	12	14	4	8	3	5	1	5	0	1	7	5	3	11	9	7	13	11	9	15	14	12	10
b4	4	9	7	5	6	8	10	8	4	5	3	5	1	1	0	3	1	0	8	7	5	10	9	7	11	12	10	8
t1	10	5	3	1	2	3	4	4	1	4	2	4	2	7	3	0	1	3	4	6	8	6	8	10	7	9	11	11
t2	8	7	5	3	4	4	6	6	2	3	2	3	0	5	1	1	0	1	6	8	6	8	10	8	9	11	11	9
t3	6	9	7	5	6	6	8	8	4	5	3	5	1	3	0	3	1	0	8	6	4	10	8	6	11	11	9	7
t4	12	7	5	3	2	1	2	6	4	9	5	9	7	11	8	4	6	8	0	1	3	4	6	8	5	7	9	9
t5	10	9	7	5	3	4	9	8	6	11	7	11	8	9	7	6	8	6	1	0	1	6	8	6	7	9	9	7
t6	8	11	9	7	5	6	6	10	8	10	8	10	6	7	5	8	6	4	3	1	0	8	6	4	9	9	7	5
t7	14	9	7	5	3	2	2	8	6	11	7	11	9	13	10	6	8	10	4	6	8	0	1	3	3	5	7	7
t8	12	11	9	7	5	3	4	10	8	13	9	13	10	11	9	8	10	8	6	8	6	1	0	1	5	7	7	5
t9	10	13	11	9	7	5	6	12	10	12	10	12	8	9	7	10	8	6	8	6	4	3	1	0	7	7	5	3
f1	17	10	8	6	4	2	0	9	7	12	8	12	10	15	11	7	9	11	5	7	9	3	5	7	0	1	3	5
f2	15	12	10	8	6	4	2	11	9	14	10	14	12	14	12	9	11	11	7	9	9	5	7	7	1	0	1	3
f3	13	14	12	10	8	6	4	13	11	15	12	15	11	12	10	11	11	9	9	9	7	7	7	5	3	1	0	1
f4	11	16	14	12	10	8	6	15	12	13	11	13	9	10	8	11	9	7	9	7	5	7	5	3	5	3	1	0
